TOA5	CAJA_TORRE	CR1000	10421	CR1000.Std.28.02	CPU:Cajanuma_Base.CR1	64137	Table1																										
TIMESTAMP	RECORD	hfp01sc_1_Avg	shf_cal	BP_hPa	AirTC_Avg	AirTC_2_Avg	RH_Avg	RH_2_Avg	rain_mm_Tot	CM3Up_Avg	CM3Dn_Avg	CG3Up_Avg	CG3Dn_Avg	CNR1TC_Avg	NetRs_Avg	NetRl_Avg	Albedo_Avg	UpTot_Avg	DnTot_Avg	NetTot_Avg	CG3upCo_Avg	CG3DnCo_Avg	WSData_S_WVT	WSData_D1_WVT	WSData_SD1_WVT	WS_ms_Max	WSDiag	WSData_S2_WVT	WSData__D2_WVT	WSData_SD2_WVT	WS_ms_2_Max	WSDiag_2	Fog_SDI3
TS	RN	W/m^2	W/(m^2mV)	hPa	Deg C	Deg C	%	%	mm	W/meter2	W/meter2	W/meter2	W/meter2	Deg C	W/meter2	W/meter2	W/meter2	W/meter2	W/meter2	W/meter2	W/meter2	W/meter2	meters/second	Deg	Deg	meters/second			Deg	Deg			unitless
		Avg	Smp	Smp	Avg	Avg	Avg	Avg	Tot	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	WVc	WVc	WVc	Max	Smp	WVc	WVc	WVc	Max	Smp	Smp
14.10.2022 14:55	207653	NAN	17.3	721	16.2	16.85	55.46	56.54	0	544.7	-688.2	0.103	-12.51	21.68	1233	12.61	-1.997	544.8	-700.7	1246	428.7	416.1	1.001	358.1	46.41	1.87	0	2.376	345	25.29	3.38	0	0.688
14.10.2022 15:00	207654	NAN	17.3	721	16.25	16.87	56.23	57.56	0	129.4	-685.2	0.103	-22.15	21.24	815	22.25	-6.384	129.5	-707.3	837	426.2	403.9	1.054	271.7	59.73	1.77	0	1.419	269.1	55.91	2.2	0	0.692
14.10.2022 15:05	207655	NAN	17.3	720.8	15.84	16.4	58.53	58.4	0	132.7	-687	0.103	-19.57	20.28	820	19.67	-6.898	132.8	-706.6	839	420.6	400.9	1.487	130.2	45.13	2.57	0	2.479	131.2	28.89	3.1	0	0.69
14.10.2022 15:10	207656	NAN	17.3	720.8	15.33	16.1	59.05	58.78	0	63.68	-691.9	0.103	-19.99	19.29	755.6	20.09	-10.91	63.78	-711.9	775.7	414.9	394.9	1.008	105	23.93	1.6	0	2.292	106.4	26.99	3.26	0	0.699
14.10.2022 15:15	207657	NAN	17.3	720.8	15.01	16.01	59.59	58.78	0	77.87	-699.8	0.103	-17.4	18.56	777.7	17.51	-8.99	77.97	-717.3	795.2	410.8	393.3	1.368	89.1	30.36	2.82	0	2.151	92.7	12.64	4.26	0	0.697
14.10.2022 15:20	207658	NAN	17.3	720.7	14.88	16.02	60.04	58.76	0	69.61	-708.5	0.103	-15.15	17.99	778.1	15.25	-10.23	69.71	-723.6	793.3	407.6	392.4	1.118	78.02	15.88	1.9	0	2.093	77.9	12.91	2.49	0	0.698
14.10.2022 15:25	207659	NAN	17.3	720.5	14.77	16	61.35	59.42	0	63.88	-720.9	0.103	-13.69	17.64	784.7	13.79	-11.29	63.98	-734.6	798.5	405.7	391.9	0.688	115.5	90.6	1.16	0	1.351	53.12	81.6	2.13	0	0.7
14.10.2022 15:30	207660	NAN	17.3	720.5	14.72	16.08	61.32	59.34	0	55.62	-727.3	0.103	-12.53	17.49	782.9	12.63	-13.22	55.73	-739.8	795.5	404.9	392.2	0.394	276.4	65.14	0.93	0	0.59	278.3	54.16	1.26	0	0.7
14.10.2022 15:35	207661	NAN	17.3	720.5	14.72	16.12	64.22	61.71	0	44.33	-736.1	0.103	-12.27	17.3	780.4	12.37	-16.63	44.43	-748.4	792.8	403.8	391.4	0.808	228	62.6	1.52	0	1.029	198.7	57.46	1.91	0	0.7
14.10.2022 15:40	207662	NAN	17.3	720.7	14.58	15.7	70.7	70.28	0	44.36	-742.2	0.103	-10.94	17	786.6	11.04	-16.74	44.47	-753.1	797.6	402.1	391.1	1.47	134.6	31	2.99	0	2.997	138.7	21.4	5.1	0	0.7
14.10.2022 15:45	207663	NAN	17.3	720.6	14.22	15.14	76.91	76.76	0	57.13	-749.2	0.103	-9.9	16.64	806	10	-13.37	57.23	-759.1	816	400.1	390.1	0.974	193.3	52.15	2.88	0	1.561	201.7	39	4.11	0	0.699
14.10.2022 15:50	207664	NAN	17.3	720.7	14	15.12	77.67	77	0	55.76	-753.6	0.103	-8.92	16.55	809	9.02	-13.69	55.87	-762.5	818	399.7	390.6	0.311	74.3	32.29	0.5	0	0.486	55.32	49.66	1.01	0	0.701
14.10.2022 15:55	207665	NAN	17.3	720.7	13.97	15.12	76.26	74.63	0	50.99	-758.5	0.103	-9.16	16.39	809	9.27	-14.91	51.09	-767.6	819	398.7	389.5	0.812	15.26	72.81	1.66	0	1.386	11.75	67.46	2.08	0	0.702
14.10.2022 16:00	207666	NAN	17.3	720.7	13.84	15.01	77.08	76.06	0	42.15	-761.6	0.103	-9.65	16.2	804	9.75	-18.2	42.25	-771.2	813	397.7	388	0.38	349.3	49.14	1.23	0	0.898	353.3	38.23	2.11	0	0.701
